album_link	album_name	author	release_date	count	language	label	category	rate	rate_info	genre	song_count	song_link	song_name	song_count	lyrics
https://www.xiami.com/album/2104419208	你的自信不能就是这么一点	雷欧路亚	2018.12.23	8	国语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#流行说唱 Pop Rap、#嘻哈 Hip-Hop	1	https://www.xiami.com/song/1808686697	你的自信不能就是这么一点	8	"No lyrics available"
https://www.xiami.com/album/2104404636	阳光沙滩	小金龙	2018.12.21	272	国语		录音室专辑	0.0	（评分人数不足10人）	#嘻哈 Hip-Hop	1	https://www.xiami.com/song/1808533954	阳光沙滩	272	"阳光沙滩remix
HK光光
我想带你飞过天空再漂过海洋
不止给你幸福也可以为你买车买房
你撒娇起来的样子总是那么迷人好看
我可以陪你走过各地的大街小巷
清晨从你身边醒来亲亲抚摸你的小脸
你给我一个笑容让我们距离变的不在遥远

我想要猜想我们的未来而不是你过去
我想要你给我甜蜜惊喜不要恶作剧

黄昏阳光下你靠着我的肩膀
黎明夜晚我可以为你点灯千盏
寒冷的冬季我愿变成暖炉给你温暖
刮风下雨时在你身边给你担风撑伞
小金龙

v2
曾经许下的承诺把他当狗屁
我们之间的感情犹如玩游戏
关掉我的手机 想好好过个六一
玩到凌晨三点我也没想要休息
ei 从来没有想过为你改变
我的QQ依然还是一直忙碌在线
约我兄弟开香槟 丢了你化妆品
离开了你我也不会感觉太伤心 OK

黄昏阳光下你靠着我的肩膀

黎明夜晚我可以为你点灯千盏

寒冷的冬季我愿变成暖炉给你温暖

想刮风下雨时在你身边给你担风撑伞
收起"
https://www.xiami.com/album/2104607892	Red Flower Society	HNBMC	2018.12.20	536	国语	红花会	录音室专辑	0.0	（评分人数不足10人）	#硬核说唱 Hardcore Hip Hop、#流行说唱 Pop Rap、#嘻哈 Hip-Hop	5	https://www.xiami.com/song/1810182735	Cut off all means of retreat	99	"No lyrics available"
https://www.xiami.com/album/2104395594	LIL P (lilpumpdiss)	DIA	2018.12.18	328	国语		录音室专辑	0.0	（评分人数不足10人）	#硬核说唱 Hardcore Hip Hop、#嘻哈 Hip-Hop、#云雾说唱 Cloud Rap	1	https://www.xiami.com/song/1808474373	LIL P (lil pump diss)	328	"Lil P(小批) lilpumpdiss
词: dia
曲: G beats.

Dia
Dia
Thx G !



Lilpump
脑壳瓜的 像个乒乓
Lilpump
弄你龟儿 你还嘴冲
Lilpump
我出生欧美 早就把你顶哭
Lilpump
dia送尼玛个礼物。c4！
Lilpump
晓不晓得啥子叫水浒
Lilpump
Feel like rap game林冲
Lilpump
你娃上位上的真的轻松
Lilpump
你说听不懂 就是这个效果
1997 I arrived
2018see u will die
为啥子你娃还乱找存在感
Shout out to j.cloe U make me high
我们Set fire 可以 like a light
翻越山顶寻找gold ice
你年龄小先站到后头看
我们大方的可以分你娃一半。
无论男女早就从chingchong 变king kong
搞清楚中国的图腾是神龙
你们有好看的复仇者联盟
我们每人都是上天入地悟空
道不道歉都晚了 don't care
老子来自平民社区 not fair
你浪子回头悬崖no chance
只有日嘛祈祷投胎投到中国
Lilpump
脑壳瓜的 像个乒乓
Lilpump
弄你龟儿 你还嘴冲
Lilpump
我出生欧美 早就把你顶哭
Lilpump
dia bring some special. C4
Lilpump
晓不晓得啥子叫水浒
Lilpump
Feel like rap game林冲
Lilpump
你娃上位上的真的轻松
Lilpump
你娃听求不懂要勒就是这个效果

收起"
https://www.xiami.com/album/2104394052	阵地	阵地POSITION	2018.12.17	240	国语		录音室专辑	0.0	（评分人数不足10人）	#老派说唱 Old-school Hip Hop、#嘻哈 Hip-Hop	15	https://www.xiami.com/song/1808459765	2.黄金年代	27	"No lyrics available"
https://www.xiami.com/album/2104386333	The Light In The Rain	天然样本音乐	2018.12.16	301	国语		录音室专辑	0.0	（评分人数不足10人）	#爵士嘻哈 Jazz Hip Hop	12	https://www.xiami.com/song/1808398129	The Light In The Rain	1	"No lyrics available"
https://www.xiami.com/album/2104385435	FLEE	Bruce十三	2018.12.16	14	国语		录音室专辑	0.0	（评分人数不足10人）	#嘻哈 Hip-Hop、#爵士嘻哈 Jazz Hip Hop	1	https://www.xiami.com/song/1808390943	FLEE（prod.$noopcatt$）	14	"曲：$noopcatt$
词：十三
混音：ill Robin
凌晨三点半
浏览刚整理完的笔记
又感觉有点乱
习惯了几年的烟
突然入口有点淡
被遗忘的路口
路灯光线有点暗
回忆在膨胀
当液面跟杯口距离开始变得松动
眼前的视窗也渐渐不受处理器的操控
躁动的欲望在脑海开始出没
路过的行人一个个悉数被淹没
我也想慢慢 可时间不等我
他们笑得多灿烂 我感觉像全裸
无论步履多蹒跚 也不会去闪躲
漫无目的的寻欢 像冰女在玩火
有些人想要高光
有些人病入膏肓
有些人悠悠然然
有些人慌慌张张
可不变 都千辛万苦寻觅着出口
至死不悟 这世上只有下一个入口
都隔着个网络被壮大了胆 劝你小心别被网络吃掉
全渴望被扔进这欲望的碗 为了成功在脸上乱用膏药
混乱的街道 眼光得独到
急躁的人群叫喊假大空的口号
物欲的盘绕 错过了多少
你是否听过来自内心深处的咆哮
逃离
我想要逃离
四面楚歌 像盘围棋
逃离
我想要逃离
一事无成 愧对天地
液晶屏幕的横幅在拼命地催
嗷嗷待哺的将来你还得拼命地喂
可命运拼命地背
都想要拼命地飞
却拼命地兑到最后拼命地睡
我想要逃到高空最高点
那里最保险
不用管尘世浮华
自娱自乐当消遣
通讯不在线
不用管暗箭 也不怕走得慢会掉链
兜兜转转 终究还是活在这个怪圈
熙熙攘攘 你能否注意到身边的变迁
今天有谁得到了眷顾 受到了升华
又有谁陷入泥沼中挣扎
像是周瑜和黄盖 一个愿打一个愿挨
不过得留意时间在背后追着你淘汰
都害怕失败 先活下来再谈论用什么姿态
逃离
我想要逃离
四面楚歌 像盘围棋
逃离
我想要逃离
一事无成 愧对天地
收起"
https://www.xiami.com/album/2104371963	TexT	YEIIIIII	2018.12.13	32	国语		录音室专辑	0.0	（评分人数不足10人）	#嘻哈 Hip-Hop	1	https://www.xiami.com/song/1808258423	The Echo	32	"THE ECho
作词：YEI-11/D.B/李行耀/啵啵
作曲;Skrazey Beats
YEI
惊觉睁开双眼面对的还是黑暗
霜点滴滴答答眼里充满了糜烂
空想几个夜晚 过了几次极感
起身坐立感觉依旧僵硬头软 呼喊
抬手又去拥抱温暖 空谈
指尖温度倒映多少欺盼极端
忘却人间冷暖 等待天地反转
TMO Point And Three Time
我活在呼喊灯光音乐舞台 存在于幻想 哈
看见动作协调妄想天堂 其实就是太想 哈
相当自己的导演风格多样反转都不理想 哈
你看见是谁在你面前笑又是谁在卖力表演 哈

D.B
存款拼命灌满买鞋是当下生活习惯
鞋柜成堆 不留遗憾脚底logo不断向外弥漫
打包糜烂出门左转 今天日推不再骨干
我抱拳 你道歉 你跪舔 讲抱歉 苟且只完成一半
我叫DBshorts百度查阅你反复翻看
入侵档案我homie马上扣下手中左轮机关
你敲击键盘歇斯底里当狗仔倒是挺能干

多年被窝潜伏着理想大脑却变得空荡
我试着拿出东西分享身体也打开外放
却始终做不到 成为 街坊 口中那个榜样
我渴望被 习惯 别人叫我是 那个全班最棒
但还是戒不掉 月底问爸妈 微信强行支行
希望多年后你记得我在舞台为你奋力张扬

李行耀
我知道这世界存在着我嗅不到的芬芳
弥漫的尘埃 让我 不敢寻找 不敢声张
从未经历过风光 独自忍受着风霜
曾想过捡起空箱 还是在夏日穿起了冬装

收听无数的心灵鸡汤也攀不过路上的磕磕绊绊
混沌的思维交织在脑中把记忆打的凌凌乱乱
生命大多只剩下短板 又打翻了瓶瓶罐罐
总是让别人同情心在我身上泛滥

默默的等着一人共渡患难
或许有你我的生命才会更加灿烂
仿佛你陪我度过了一场又一场的动乱
醒来时你的样子却又还是那么梦幻

成为了我最讨厌的人当了一条舔狗
或许我不应该离开家人选择独自远走
渐渐的舍弃了存在做一个冷面选手
一颗赤子之心，禁不起几经转手


啵啵
I never know why my life lose control
like a dog chasing a big boat
try my all no to show up

i want you back no one to
turning back but life is crue
waiting some to one make sure
Im the one who I want to

I know you are uncontrolled
no more patients fxxk yourself
dont want be a dunk dont want be a duck
sleep in the dark wake up in the shot

no more provese no more
no more message no more talk
we cant go back to before
old days sitting against the wall
under moonlight we really hug
the feel make me really hard
In the dream I can still feel that
when my rhyem run out songs blow up
the sky fall off the car crack off


yeah thats all yeah we all done
1you should love not leave me
1use your best treat me
1who better me better
that guy sucks not lover
YEI
我 看见他们变的越来越势利
看见他们丢了多少刺激
看见他们渐渐忘了自己

我 看着他们一直都活在过去
看着他们漠视所有失去
看着他们停在片言只语
收起"
https://www.xiami.com/album/2104366522	1200公里	好吃的菠萝	2018.12.11	690	国语		录音室专辑	0.0	（评分人数不足10人）	#嘻哈 Hip-Hop	1	https://www.xiami.com/song/1808210588	1200的思念	690	"18年的秋天就迷上你的双眼
12点半的阳光 透过窗户照向你侧脸
是什么样的父母给了你好看的皮囊
是世界太肮脏 不该让你在这儿彷徨
我需要你陪我一直一直往前
就算我不在身边 依然每天会想你几遍
你有几遍是挂了电话又去熬夜
别想太多 我只是在你身边不会冬眠
想跟你约会
一起去养你的胃
想给你肩膀靠着 给你温暖罩着
你知道我不后悔
想带你喝醉
从白天走到天黑
想你是我的宝贝 你是我的宝贝
不会让你掉眼泪

给我 给我。给我 你的双手我带你去疯
给我 给我。给我 你的所有 要我变成你老公
要你保持你的天真
还有你最不温柔的笑声
不用我*劳 不用我祷告
吃了睡睡了吃 熬夜不要到三更

要你生活过的更好
还有这首歌送给你能听到
在你的耳边 不停的环绕
在九江在学校 但愿时光不老
我是不是可以搬到你心里住
给你依靠 给你拥抱 给你庇护

这世界太小 有好多碰巧
你是孤岛 我是孤岛上面盘旋的鸟


第一次做说唱音乐 有一定的难度
这个歌词这个伴奏一直修改一直反复
哦不 我有了进步
为你做的任何事情我都觉得很酷

想跟你约会
一起去养你的胃
想给你肩膀靠着 给你温暖罩着
你知道我不后悔
想带你喝醉
从白天走到天黑
想你是我的宝贝 你是我的宝贝
不会让你掉眼泪
收起"
https://www.xiami.com/album/2104364423	侠（原创国风HIPHOP）	张子瑞（Z FORE）	2018.12.10	563	国语		录音室专辑	0.0	（评分人数不足10人）	#嘻哈 Hip-Hop、#陷阱说唱 Trap Rap、#中国地下说唱 Chinese Underground Hip Hop	1	https://www.xiami.com/song/1808197861	侠义江湖	563	"侠义在人间


江湖险恶，善恶有报。

免费Beat 使用关注私信作品标注即可。

Chinese Type Beats -“XIA YI JIANG HU” Trap Beat Instrumental 2019 | Free Rap HipHop | Kung Fu China | MADE IN CHINA Prod.张 子 瑞

当你打算什么都靠自己亲力亲为的时候
才会发现这年头做什么都不容易
做个YouTube视频
自己除了Ideas和作曲编曲的Beat
然后其他什么都不懂也不会
封面是朋友肖子成提供的
然后封面设计是王晨阳和我一起做好的
视频合成是TG和王晨阳一起的
而且别人都是免费给予
真的十分感谢


收起"
