album_link	album_name	author	release_date	count	language	label	category	rate	rate_info	genre	song_count	song_link	song_name	song_count	lyrics
https://www.xiami.com/album/2104317328	搏感情	玖壹壹	2018.12.04	399000	国语	滚石唱片	录音室专辑	9.1	(18人评分)	#电子舞曲 EDM / Electronic Dance Music、#摇滚 Rock & Roll、#嘻哈 Hip-Hop	11	https://www.xiami.com/song/1807659985	美干拎	7752	"（喝酒适量 喝酒不开车 开车不喝酒）
（如果你今天心情不好的话 那就喝给他爆）
（喝酒喽）

下班喽 耶嘿 我们去喝一杯（呦呼）
高举酒杯 干落 有喝就别躲酒
阿娜答 你来你来 来把酒杯倒满
首先先把瓶盖给打开（嗯嘛）
我们愿打愿挨 没喝醉不离开
喝醉请人来抬（嘿咻 嘿咻）
我干杯你随意 可以四处打听
老子叫战神小Ｇ
你的外表看起来似年轻
应该刚满21 这杯我喝完敬你

我朋友 美干拎 美干拎 美干拎 美干拎 美干拎
我朋友 美干拎 美干拎 美干拎 美干拎 美干拎
吼答啦 答啦 吼答啦 答啦
吼答啦 答啦 吼答啦 答啦
吼答啦 答啦 吼答啦 答啦
吼答啦 答啦 吼答啦 答啦

你怎么愁眉苦脸的BABY
让我来陪你度过这个BAD DAY
我相信一切都会慢慢好地
这杯喝完你就是漂亮LADY
他的变身开关还没开启他说喝不够
这杯是店家招待浓度一拜的还不错
如果你能够一口喝完代表你不弱
星度三颗酒单里排行NUMBER FOUR

场子都热闹 热闹 热闹 热闹 HIGH起来
全部都摇落 摇落 摇落 摇尬 舞告卖
我说你不行 不行 不行 不行先离开
现在时间还早才半夜快要一点半

我朋友 美干拎 美干拎 美干拎 美干拎 美干拎
我朋友 美干拎 美干拎 美干拎 美干拎 美干拎
吼答啦 答啦 吼答啦 答啦（我要醉在这里）
吼答啦 答啦 吼答啦 答啦（有谁要照顾我）
吼答啦 答啦 吼答啦 答啦（我要给谁打电话）
吼答啦 答啦 吼答啦 答啦（开酒不能喝车）

HELLO BARTENDER 昨晚感谢你来给咱照顾
HELLO BARTENDER 今晚我一定要喝到脱裤

我朋友 美干拎 美干拎 美干拎 美干拎 美干拎
我朋友 美干拎 美干拎 美干拎 美干拎 美干拎

（吼答啦 答啦 吼答啦 答啦）
（吼答啦 答啦 吼答啦 答啦）
（吼答啦 答啦 吼答啦 答啦）
（吼答啦 答啦 吼答啦 答啦）

阿嬷不输你啦 阿公说再拎啦
阿嬷不输你啦 阿公说再拎啦
收起"
https://www.xiami.com/album/2103987526	无常Ⅱ	左小祖咒	2018.09.09	49000	国语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#摇滚 Rock & Roll	2	https://www.xiami.com/song/1805326693	道歉个美眉 (非常抱歉)	2453	"No lyrics available"
https://www.xiami.com/album/2103968433	小怪兽	布衣乐队	2018.09.02	80000	国语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#摇滚 Rock & Roll	10	https://www.xiami.com/song/1805178108	宁夏川	4069	"No lyrics available"
https://www.xiami.com/album/2103771273	The Twenties	The Twenties	2018.07.15	47000	英语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#独立摇滚 Indie Rock、#低保真 Lo-Fi	12	https://www.xiami.com/song/1803482876	Sunny Hell	1078	"Sunny Hell
阳狱


No, just a funny old joke
Maybe I can talk to the radio
Maybe I can't I can't I can't
Maybe I can't I can't help

Love, is my favourite toy
It knows I belong to the sunny hell
Maybe I can't I can't I can't
Maybe I can't I can't tell

Oh honey, wherever you go
You don't have to live in the rainy hell
Maybe I can't I can't I can't
Maybe I can't I cant tell
No, you know where lovers stroke
Where the angels fall from the pretty old truck
I can't I can't I can't
Maybe I can't I can't help

I'm trying to explode it
Don't know why it feels so great
Can't wait cause I love it maybe
It will always be my favourite thing

Oh, you're my favourite boy
You don't have to say anything
Let's go back to the sunny hell
收起"
https://www.xiami.com/album/2103716980	台风	野外合作社	2018.05.23	143000	国语	StreetVoice / 以太	录音室专辑	9.1	(36人评分)	#摇滚 Rock & Roll、#独立摇滚 Indie Rock	15	https://www.xiami.com/song/1803111341	台风II	5399	"这个夏天 台风怒吼
风吹过你 所有的狗血
以及所有 随风而落的泪水
都在仰望 你的领导地位
不是每个城 都可以在歌唱中活下去
去拥抱那些 强壮的心
不用怀疑 你就是自救的典范
解救一切 人民灾难的法宝

我们都是这个城市热门肥皂的主人
与餐桌结盟 与金色厮守
与服从道路的梧桐心有灵犀
与亲吻爱情的鲜花生死契阔
然而你看不到 自我的台风已经决堤
浪潮里 每一位伟大的诗人都在复活
打钟的皇帝 也在恋爱
不会恋爱的 也要恋爱
不会歌唱的 也要歌唱

打钟的皇帝 也在恋爱
不会恋爱的 也要恋爱
不会歌唱的 也要歌唱
收起"
https://www.xiami.com/album/198987	不了情	童丽	2018.02.01	131000	国语	天艺音像制品有限公司	录音室专辑	10.0	(10人评分)	#实验摇滚 Experimental Rock、#后摇 Post-Rock	12	https://www.xiami.com/song/1802142956	清平调	17000	"云想衣裳花想容
春风拂槛露华浓
若非群玉山头见
会向瑶台月下逢
一枝红艳露凝香
云雨巫山枉断肠
借问汉宫谁得似
可怜飞燕倚新妆
名花倾国两相欢
常得君王带笑看
解释春风无限恨
沉香亭北倚阑干
解释春风无限恨
沉香亭北倚阑干

云想衣裳花想容
春风拂槛露华浓
若非群玉山头见
会向瑶台月下逢
一枝红艳露凝香
云雨巫山枉断肠
借问汉宫谁得似
可怜飞燕倚新妆
名花倾国两相欢
常得君王带笑看
解释春风无限恨
沉香亭北倚阑干
解释春风无限恨
沉香亭北倚阑干
解释春风无限恨
沉香亭北倚阑干
收起"
https://www.xiami.com/album/2104432619	任岁月流淌	尚哲	2018.12.28	107	国语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#流行摇滚 Pop Rock、#民谣 Folk、#流行 Pop	3	https://www.xiami.com/song/1808794811	任岁月流淌	23	"[00:03.516]你看那些时光 悄悄流过身旁
[00:10.886]你看那个月亮 还是那个模样
[00:18.671]只是你还 不知 岁月 它该去什么地方
[00:26.203]就像一张老去的脸庞 随时等待遗忘
[00:34.236]你听他的故事 想象你在何方
[00:41.768]穿过大街小巷 回到你的故乡
[00:49.592]然而眼下 只剩 一腔 未燃烧完的胸膛
[00:57.376]总在清晨醒来的究竟 是希望还是绝望
[01:05.156]如今只有回不去的时光和流动的岁月
[01:13.191]带走你的眼泪是谁留下痛苦和追悔
[01:20.720]如今我已不是青春年少像永恒的太阳
[01:28.308]也会感到 世事反复无常 明月尽凄凉
[01:51.658]总有一段时光 沉默带着慌张
[01:59.192]总会带着渴望 离开一片喧嚷
[02:07.227]我在黄昏 感伤 远方 你出现过的地方
[02:15.012]总在天边飞扬的幻想 坠入现实的网
[02:22.546]如今我会看着每次夕阳带爱情去流浪
[02:30.348]你是一抹晚霞穿过我的暗然的忧伤
[02:38.182]如今就算前路依然苍茫还看不到希望
[02:45.747]我还会在 回眸踏上远方 来日道方长
[03:24.633]如今只有回不去的时光和流动的岁月
[03:32.420]带走你的眼泪是谁留下痛苦和追悔
[03:40.204]如今我已不是青春年少像永恒的太阳
[03:47.739]也会感到 世事反复无常 明月尽凄凉
[03:55.544]如今我会看着每次夕阳带爱情去流浪
[04:03.361]你是一抹晚霞穿过我的暗然的忧伤
[04:11.142]如今就算前路依然苍茫还看不到希望
[04:18.924]我还会在 回眸踏上远方 来日道方长
[04:30.223]任凭岁月灼伤 纵使无人体谅
[04:38.004]拭去旧日的慌 背上你的行囊
[04:45.788]总是走在 无尽 漫长 不停告别的路上
[04:53.319]推开那扇破旧的门窗 为何还不知去向
[05:03.933]制作人/编曲/混音师：王大治
电琴：史维旭
箱琴：尚哲
贝斯：刘鑫
鼓：格桑咸俊
和声：尚哲
录音师：杨森 2B
录音棚：时音唱片
收起"
https://www.xiami.com/album/2104420302	All I Want To Do	临时乐队	2018.12.26	91	国语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#另类摇滚 Alternative Rock、#激流金属 Thrash Metal	2	https://www.xiami.com/song/1808689528	All I Want To Do	51	"No lyrics available"
https://www.xiami.com/album/2104409729	之间	阿拉腾傲刀	2018.12.23	95	其他		录音室专辑	0.0	（评分人数不足10人）	#另类摇滚 Alternative Rock	10	https://www.xiami.com/song/1808586762	挥霍	9	"No lyrics available"
https://www.xiami.com/album/2104520402	雨 RAIN RAIN RAIN	无边界音乐	2018.12.18	60	国语		录音室专辑	0.0	（评分人数不足10人）	#独立摇滚 Indie Rock、#独立民谣 Indie Folk、#流行 Pop	10	https://www.xiami.com/song/1809397483	布拉格	2	"布拉格有风
有黄金的呼吸
我的每个骨节都已打开
让这里的风自由穿行

我第一次来这个城市
好像回到亲切的故乡
这里有太多熟悉的人
从记忆里跳出来
那一串含有重金属的名字
在伏尔塔瓦河两岸等我
在书店、广场、咖啡馆、小巷
新鲜地活着

我是一个探亲的人
也是一个行窃者
仔细辨析风与风的对话
倾听伏尔塔瓦河水和水的碰撞

黄昏里悠闲的光是一把钥匙
解开我身上所有的锁
我的眼睛里已站着一只鹰
捕捉着布拉格的黄金

我是一个探亲的人
也是一个行窃者
仔细辨析风与风的对话
倾听伏尔塔瓦河水和水的碰撞

黄昏里悠闲的光是一把钥匙
解开我身上所有的锁
我的眼睛里已站着一只鹰
捕捉着布拉格的黄金


吉他：刘森
制作：刘森
收起"
